amount,x_center,page
0,380,449.367,2
08,56.313,3
307,71.325,3
00059,93.84299999999999,3
10,113.859,3
02049,133.875,3
0,151.389,3
36,161.39700000000002,3
8600,360.216,3
,,391.491,3
59,43.016999999999996,3
10,55.527,3
02049,75.543,3
0,93.05700000000002,3
30,163.61599999999999,3
04,176.12599999999998,3
2023,193.64,3
3,268.724,3
2035,341.20799999999997,3
28,24.074,3
04,36.584,3
20648257,207.80099999999996,3
28042023,322.86100000000005,3
2,000,449.367,3
28,24.074,3
04,36.584,3
0000126,206.30699999999996,3
27042023,322.86100000000005,3
153,900,444.36,3
75.836,990,413.443,3
88.517,390,529.663,3
12.680,400,532.781,3
